"","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"488","inside",0,0,0,0,0,0,0,0,0,0
"489","unique",0,0,0,0,0,0,1,0,0,1
"490","unforgettable",0,0,0,0,0,0,0,0,0,0
"491","experience",0,0,0,0,0,0,0,0,0,0
"492","museum",0,0,0,0,0,0,0,0,0,0
"493","london",0,0,0,0,0,0,0,0,0,0
"494","history",0,0,0,0,0,0,0,0,0,0
"495","incredibly",0,0,0,0,0,0,0,0,0,0
"496","fantastic",0,0,0,0,0,0,0,0,0,0
"497","egypt",0,0,0,0,0,0,0,0,0,0
"498","department",0,0,0,0,0,0,0,0,0,0
"499","unique",0,0,0,0,0,0,1,0,0,1
"500","rainy",0,0,0,0,0,1,0,0,0,0
"501","day",0,0,0,0,0,0,0,0,0,0
"502","occasionally",0,0,0,0,0,0,0,0,0,0
"503","afternoon",0,0,0,0,0,0,0,0,0,0
"504","tea",0,0,0,0,0,0,0,0,0,0
"505","restaurant",0,0,0,0,0,0,0,0,0,0
"506","love",0,0,0,0,1,0,0,0,0,1
"507","quiet",0,0,0,0,0,1,0,0,0,1
"508","afternoon",0,0,0,0,0,0,0,0,0,0
"509","soaking",0,0,0,0,0,0,0,0,0,0
"510","history",0,0,0,0,0,0,0,0,0,0
"511","exhibits",0,0,0,0,0,0,0,0,0,0
"512","world",0,0,0,0,0,0,0,0,0,0
"513","museum",0,0,0,0,0,0,0,0,0,0
"514","worths",0,0,0,0,0,0,0,0,0,0
"515","visit",0,0,0,0,0,0,0,0,0,1
"516","greek",0,0,0,0,0,0,0,0,0,0
"517","mention",0,0,0,0,0,0,0,0,0,0
"518","parthenon",0,0,0,0,0,0,0,0,0,0
"519","sculptures",0,0,0,0,0,0,0,0,0,0
"520","caryatis",0,0,0,0,0,0,0,0,0,0
"521","clocks",0,0,0,0,0,0,0,0,0,0
"522","watches",0,0,0,0,0,0,0,0,0,0
"523","section",0,0,0,0,0,0,0,0,0,0
"524","travelled",0,0,0,0,0,0,0,0,0,0
"525","time",0,1,0,0,0,0,0,0,0,0
"526","favorite",0,0,0,0,1,0,0,1,0,1
